"species","decimalLongitude","decimalLatitude"
"Oeneis jutta",14.85275,59.36771
"Oeneis jutta",17.15457,59.96981
"Oeneis jutta",17.70159,64.16728
"Oeneis jutta",14.89173,60.93685
"Oeneis jutta",19.15903,65.60609
"Oeneis jutta",13.20079,61.61976
"Oeneis jutta",14.99861,57.92483
"Oeneis jutta",20.62613,63.9617
"Oeneis jutta",12.67109,62.67428
"Oeneis jutta",14.4785,61.48847
"Oeneis jutta",18.68251,63.17869
"Oeneis jutta",16.04943,58.82212
"Oeneis jutta",14.79309,61.38508
"Oeneis jutta",16.93248,60.6491
"Oeneis jutta",17.15877,59.96905
"Oeneis jutta",19.78716,64.0761
"Oeneis jutta",12.51633,62.60407
"Oeneis jutta",17.89032,66.03013
"Oeneis jutta",15.33069,58.0877
"Oeneis jutta",12.61123,62.59093
"Oeneis jutta",19.83862,63.65664
"Oeneis jutta",15.10212,59.59948
"Oeneis jutta",15.6857,62.58412
"Oeneis jutta",15.43074,61.98414
"Oeneis jutta",15.60249,62.31535
"Oeneis jutta",17.54333,63.65596
"Oeneis jutta",12.67178,62.67253
"Oeneis jutta",22.55252,66.45009
"Oeneis jutta",12.88399,62.67711
"Oeneis jutta",12.65071,60.92976
"Oeneis jutta",14.78977,61.38415
"Oeneis jutta",12.68117,62.67488
"Oeneis jutta",16.49638,62.69444
"Oeneis jutta",19.74281,63.59596
"Oeneis jutta",15.23554,63.48622
"Oeneis jutta",12.86794,61.20561
"Oeneis jutta",17.89401,66.02781
"Oeneis jutta",20.39168,64.26668
"Oeneis jutta",17.34311,60.6115
"Oeneis jutta",17.16043,59.97087
"Oeneis jutta",17.12923,62.80231
"Oeneis jutta",14.84091,60.47998
"Oeneis jutta",14.83037,59.31993
"Oeneis jutta",15.32352,58.08542
"Oeneis jutta",14.49171,61.28839
"Oeneis jutta",12.38672,60.90363
"Oeneis jutta",12.76337,62.77832
"Oeneis jutta",12.67332,62.67365
"Oeneis jutta",14.45072,59.20916
"Oeneis jutta",17.24472,66.23188
"Oeneis jutta",15.2549,58.68459
"Oeneis jutta",15.65747,62.61247
"Oeneis jutta",18.68975,65.73209
"Oeneis jutta",15.0544,60.11489
"Oeneis jutta",17.10303,60.19856
"Oeneis jutta",17.07034,62.54145
"Oeneis jutta",23.12944,65.72999
"Oeneis jutta",19.42545,65.28652
"Oeneis jutta",16.26779,60.96857
"Oeneis jutta",12.66692,62.67823
"Oeneis jutta",14.83747,60.48144
"Oeneis jutta",13.98662,60.49577
"Oeneis jutta",18.8598,65.59875
"Oeneis jutta",20.49514,64.88049
"Oeneis jutta",14.79154,61.38619
"Oeneis jutta",14.79242,61.38781
"Oeneis jutta",20.71661,66.50416
"Oeneis jutta",19.85521,63.67759
